time,open,high,low,close,tick_volume,spread,real_volume
2023-11-16 21:35:00,1983.45,1983.6,1983.16,1983.18,176,30,0
2023-11-16 21:40:00,1983.2,1983.59,1983.16,1983.24,158,33,0
2023-11-16 21:45:00,1983.26,1983.79,1983.19,1983.48,179,30,0
2023-11-16 21:50:00,1983.48,1983.57,1983.22,1983.53,238,33,0
2023-11-16 21:55:00,1983.53,1983.66,1983.13,1983.31,268,33,0
2023-11-16 22:00:00,1983.28,1984.01,1983.28,1983.65,188,32,0
2023-11-16 22:05:00,1983.67,1984.12,1983.41,1983.77,182,31,0
2023-11-16 22:10:00,1983.78,1983.85,1982.55,1982.55,169,30,0
2023-11-16 22:15:00,1982.56,1982.56,1981.11,1981.12,267,30,0
2023-11-16 22:20:00,1981.12,1982.0,1980.96,1981.87,222,30,0
2023-11-16 22:25:00,1981.86,1982.04,1981.46,1981.48,143,30,0
2023-11-16 22:30:00,1981.48,1982.0,1981.44,1981.46,172,35,0
2023-11-16 22:35:00,1981.46,1981.79,1981.26,1981.39,177,33,0
2023-11-16 22:40:00,1981.44,1981.45,1980.86,1981.06,175,35,0
2023-11-16 22:45:00,1981.06,1981.47,1980.88,1980.98,199,36,0
2023-11-16 22:50:00,1980.96,1981.48,1980.77,1981.21,274,30,0
2023-11-16 22:55:00,1981.27,1981.68,1980.78,1980.78,341,35,0
2023-11-16 23:00:00,1981.23,1981.31,1980.93,1980.97,109,33,0
2023-11-16 23:05:00,1980.97,1981.29,1980.94,1981.09,53,31,0
2023-11-16 23:10:00,1981.09,1981.09,1980.71,1980.76,88,34,0
2023-11-16 23:15:00,1980.75,1980.99,1980.58,1980.79,244,36,0
2023-11-16 23:20:00,1980.8,1980.82,1980.65,1980.69,106,35,0
2023-11-16 23:25:00,1980.7,1981.19,1980.63,1981.1,137,31,0
2023-11-16 23:30:00,1981.11,1981.13,1980.91,1980.96,104,35,0
2023-11-16 23:35:00,1980.95,1981.03,1980.61,1980.86,152,30,0
2023-11-16 23:40:00,1980.85,1981.0,1980.78,1980.93,83,34,0
2023-11-16 23:45:00,1980.9,1981.18,1980.84,1981.04,84,37,0
2023-11-16 23:50:00,1981.04,1981.28,1980.93,1981.25,69,44,0
2023-11-16 23:55:00,1981.24,1981.32,1980.8,1981.15,102,41,0
2023-11-17 01:00:00,1980.89,1981.14,1980.69,1981.11,34,22,0
2023-11-17 01:05:00,1981.11,1981.27,1980.98,1981.09,58,40,0
2023-11-17 01:10:00,1981.07,1981.39,1981.0,1981.04,54,40,0
2023-11-17 01:15:00,1981.06,1981.22,1980.98,1981.21,34,40,0
2023-11-17 01:20:00,1981.2,1981.32,1980.96,1981.09,62,47,0
2023-11-17 01:25:00,1981.1,1981.77,1981.1,1981.63,98,40,0
2023-11-17 01:30:00,1981.62,1981.67,1981.3,1981.54,105,43,0
2023-11-17 01:35:00,1981.53,1981.74,1981.51,1981.56,81,45,0
2023-11-17 01:40:00,1981.6,1981.9,1981.49,1981.71,73,40,0
2023-11-17 01:45:00,1981.72,1982.25,1981.58,1981.6,104,40,0
2023-11-17 01:50:00,1981.59,1982.46,1981.59,1982.46,86,44,0
2023-11-17 01:55:00,1982.49,1982.8,1982.2,1982.56,171,40,0
2023-11-17 02:00:00,1982.53,1982.95,1982.24,1982.62,180,44,0
2023-11-17 02:05:00,1982.65,1982.93,1982.43,1982.44,97,44,0
2023-11-17 02:10:00,1982.5,1982.68,1982.34,1982.41,150,45,0
2023-11-17 02:15:00,1982.42,1982.59,1981.97,1982.03,122,40,0
2023-11-17 02:20:00,1982.02,1982.16,1981.71,1981.76,59,40,0
2023-11-17 02:25:00,1981.71,1981.96,1981.71,1981.89,75,40,0
2023-11-17 02:30:00,1981.89,1982.79,1981.79,1982.68,101,40,0
2023-11-17 02:35:00,1982.7,1982.73,1982.41,1982.62,94,44,0
2023-11-17 02:40:00,1982.62,1982.62,1982.23,1982.39,91,40,0
2023-11-17 02:45:00,1982.4,1982.64,1982.4,1982.59,142,45,0
2023-11-17 02:50:00,1982.6,1984.01,1982.52,1983.99,195,41,0
2023-11-17 02:55:00,1984.0,1984.84,1983.92,1984.84,285,40,0
2023-11-17 03:00:00,1984.88,1986.86,1984.79,1985.74,434,40,0
2023-11-17 03:05:00,1985.7,1986.15,1984.51,1985.01,284,40,0
2023-11-17 03:10:00,1985.0,1985.64,1984.43,1984.45,371,40,0
2023-11-17 03:15:00,1984.47,1985.06,1984.09,1984.33,332,40,0
2023-11-17 03:20:00,1984.34,1985.0,1983.92,1984.6,336,40,0
2023-11-17 03:25:00,1984.61,1984.8,1984.04,1984.37,221,40,0
2023-11-17 03:30:00,1984.35,1984.35,1982.9,1982.91,331,40,0
2023-11-17 03:35:00,1982.9,1983.32,1982.59,1982.9,269,40,0
2023-11-17 03:40:00,1982.88,1983.68,1982.85,1983.37,222,40,0
2023-11-17 03:45:00,1983.39,1983.53,1982.98,1983.05,98,45,0
2023-11-17 03:50:00,1983.05,1983.58,1982.84,1983.23,105,44,0
2023-11-17 03:55:00,1983.22,1983.53,1983.08,1983.43,175,40,0
2023-11-17 04:00:00,1983.44,1984.49,1983.18,1984.49,238,40,0
2023-11-17 04:05:00,1984.49,1985.21,1984.29,1985.01,267,40,0
2023-11-17 04:10:00,1985.0,1985.04,1984.09,1984.45,277,40,0
2023-11-17 04:15:00,1984.44,1984.56,1983.67,1984.4,236,40,0
2023-11-17 04:20:00,1984.37,1984.79,1983.52,1983.77,248,40,0
2023-11-17 04:25:00,1983.76,1984.06,1983.4,1983.52,257,40,0
2023-11-17 04:30:00,1983.56,1984.14,1983.53,1984.08,295,40,0
2023-11-17 04:35:00,1984.11,1984.51,1983.99,1984.06,260,40,0
2023-11-17 04:40:00,1984.05,1984.05,1983.59,1983.67,350,40,0
2023-11-17 04:45:00,1983.68,1984.45,1983.68,1984.23,211,40,0
2023-11-17 04:50:00,1984.22,1984.59,1984.13,1984.56,147,40,0
2023-11-17 04:55:00,1984.56,1985.71,1984.53,1985.28,170,40,0
2023-11-17 05:00:00,1985.24,1985.74,1985.15,1985.6,189,40,0
2023-11-17 05:05:00,1985.6,1986.43,1985.52,1985.76,289,40,0
2023-11-17 05:10:00,1985.75,1986.47,1985.4,1985.7,356,40,0
2023-11-17 05:15:00,1985.7,1986.13,1985.4,1985.74,191,40,0
2023-11-17 05:20:00,1985.71,1985.92,1985.54,1985.61,210,40,0
2023-11-17 05:25:00,1985.6,1985.82,1985.58,1985.69,269,40,0
2023-11-17 05:30:00,1985.67,1986.13,1985.61,1985.88,236,40,0
2023-11-17 05:35:00,1985.87,1986.28,1985.85,1986.28,159,40,0
2023-11-17 05:40:00,1986.31,1986.44,1986.02,1986.11,122,40,0
2023-11-17 05:45:00,1986.11,1986.27,1985.79,1985.81,147,40,0
2023-11-17 05:50:00,1985.8,1986.15,1985.64,1986.02,119,40,0
2023-11-17 05:55:00,1986.02,1986.8,1985.69,1986.63,280,40,0
2023-11-17 06:00:00,1986.62,1987.1,1986.19,1986.62,205,40,0
2023-11-17 06:05:00,1986.62,1986.98,1986.43,1986.71,114,40,0
2023-11-17 06:10:00,1986.71,1986.82,1986.13,1986.23,123,40,0
2023-11-17 06:15:00,1986.22,1986.28,1985.75,1985.75,115,40,0
2023-11-17 06:20:00,1985.76,1986.67,1985.61,1986.01,144,40,0
2023-11-17 06:25:00,1986.01,1986.24,1985.67,1985.69,141,40,0
2023-11-17 06:30:00,1985.71,1986.19,1985.68,1986.07,142,40,0
2023-11-17 06:35:00,1986.08,1986.41,1986.03,1986.16,124,40,0
2023-11-17 06:40:00,1986.18,1986.29,1985.19,1985.79,164,40,0
2023-11-17 06:45:00,1985.78,1985.86,1985.3,1985.78,222,40,0
2023-11-17 06:50:00,1985.79,1986.23,1985.78,1986.1,106,40,0
2023-11-17 06:55:00,1986.11,1986.34,1985.87,1985.96,118,43,0
2023-11-17 07:00:00,1985.97,1986.0,1985.52,1985.54,186,40,0
2023-11-17 07:05:00,1985.49,1985.68,1985.4,1985.64,168,40,0
2023-11-17 07:10:00,1985.63,1985.63,1985.11,1985.33,144,40,0
2023-11-17 07:15:00,1985.31,1985.68,1985.24,1985.44,145,40,0
2023-11-17 07:20:00,1985.43,1985.51,1984.56,1984.6,173,40,0
2023-11-17 07:25:00,1984.58,1984.63,1984.2,1984.62,148,40,0
2023-11-17 07:30:00,1984.59,1984.79,1984.21,1984.58,220,40,0
2023-11-17 07:35:00,1984.59,1984.98,1984.34,1984.89,237,40,0
2023-11-17 07:40:00,1984.91,1985.13,1984.56,1984.76,227,40,0
2023-11-17 07:45:00,1984.76,1984.96,1984.47,1984.54,142,40,0
2023-11-17 07:50:00,1984.55,1984.67,1984.28,1984.35,216,40,0
2023-11-17 07:55:00,1984.36,1984.71,1984.29,1984.34,246,40,0
2023-11-17 08:00:00,1984.35,1984.65,1984.15,1984.23,275,40,0
2023-11-17 08:05:00,1984.23,1984.6,1984.13,1984.52,149,45,0
2023-11-17 08:10:00,1984.52,1984.54,1984.06,1984.3,170,45,0
2023-11-17 08:15:00,1984.3,1984.58,1984.15,1984.16,228,45,0
2023-11-17 08:20:00,1984.17,1984.29,1984.0,1984.03,177,45,0
2023-11-17 08:25:00,1984.02,1984.49,1983.6,1984.42,217,45,0
2023-11-17 08:30:00,1984.38,1984.43,1983.55,1983.6,218,45,0
2023-11-17 08:35:00,1983.63,1983.64,1983.12,1983.32,194,45,0
2023-11-17 08:40:00,1983.3,1983.32,1982.68,1982.68,192,45,0
2023-11-17 08:45:00,1982.65,1983.75,1982.58,1983.34,200,45,0
2023-11-17 08:50:00,1983.35,1983.65,1983.09,1983.54,227,45,0
2023-11-17 08:55:00,1983.55,1983.91,1983.33,1983.56,221,45,0
2023-11-17 09:00:00,1983.53,1983.64,1983.09,1983.31,213,30,0
2023-11-17 09:05:00,1983.39,1983.9,1983.31,1983.68,275,30,0
2023-11-17 09:10:00,1983.67,1984.8,1983.51,1984.09,197,30,0
2023-11-17 09:15:00,1984.12,1984.16,1982.85,1982.9,191,30,0
2023-11-17 09:20:00,1982.9,1983.7,1982.9,1983.61,235,30,0
2023-11-17 09:25:00,1983.59,1984.63,1983.59,1984.63,257,32,0
2023-11-17 09:30:00,1984.59,1985.81,1984.58,1985.48,308,30,0
2023-11-17 09:35:00,1985.48,1986.38,1985.21,1986.05,272,32,0
2023-11-17 09:40:00,1986.07,1986.24,1985.3,1985.4,201,32,0
2023-11-17 09:45:00,1985.42,1986.6,1985.0,1986.48,213,30,0
2023-11-17 09:50:00,1986.45,1986.84,1986.23,1986.45,202,30,0
2023-11-17 09:55:00,1986.43,1987.64,1986.37,1987.64,280,31,0
2023-11-17 10:00:00,1987.67,1987.68,1985.17,1985.93,656,30,0
2023-11-17 10:05:00,1985.91,1985.93,1985.06,1985.28,477,31,0
2023-11-17 10:10:00,1985.26,1985.51,1984.62,1985.17,434,30,0
2023-11-17 10:15:00,1985.15,1985.83,1985.02,1985.73,322,30,0
2023-11-17 10:20:00,1985.73,1985.85,1985.37,1985.59,287,30,0
2023-11-17 10:25:00,1985.65,1985.89,1985.44,1985.7,307,32,0
2023-11-17 10:30:00,1985.7,1988.61,1985.44,1988.44,494,30,0
2023-11-17 10:35:00,1988.46,1988.54,1986.76,1987.87,566,30,0
2023-11-17 10:40:00,1987.8,1987.86,1986.5,1986.69,494,30,0
2023-11-17 10:45:00,1986.68,1987.78,1986.21,1987.77,505,30,0
2023-11-17 10:50:00,1987.76,1988.75,1987.25,1988.57,472,30,0
2023-11-17 10:55:00,1988.49,1989.08,1988.4,1988.7,462,30,0
2023-11-17 11:00:00,1988.7,1989.01,1988.23,1989.01,498,30,0
2023-11-17 11:05:00,1989.02,1990.85,1988.71,1990.85,613,30,0
2023-11-17 11:10:00,1990.85,1991.63,1990.5,1991.51,430,30,0
2023-11-17 11:15:00,1991.51,1991.52,1990.25,1990.63,480,30,0
2023-11-17 11:20:00,1990.61,1991.57,1990.39,1991.04,466,30,0
2023-11-17 11:25:00,1991.05,1991.56,1990.73,1990.91,432,30,0
2023-11-17 11:30:00,1990.89,1991.63,1990.65,1991.57,350,30,0
2023-11-17 11:35:00,1991.58,1991.73,1991.11,1991.6,376,30,0
2023-11-17 11:40:00,1991.61,1992.39,1991.33,1991.38,454,30,0
2023-11-17 11:45:00,1991.39,1991.57,1990.76,1991.05,520,30,0
2023-11-17 11:50:00,1991.01,1991.59,1990.45,1991.26,545,30,0
2023-11-17 11:55:00,1991.28,1991.48,1990.76,1991.25,377,30,0
2023-11-17 12:00:00,1991.29,1991.35,1990.65,1990.67,344,30,0
2023-11-17 12:05:00,1990.66,1991.7,1990.59,1991.57,460,30,0
2023-11-17 12:10:00,1991.57,1992.71,1991.28,1992.56,370,30,0
2023-11-17 12:15:00,1992.55,1993.23,1992.33,1992.34,406,30,0
2023-11-17 12:20:00,1992.34,1993.05,1992.24,1992.82,470,30,0
2023-11-17 12:25:00,1992.81,1993.39,1992.25,1992.7,490,30,0
2023-11-17 12:30:00,1992.71,1992.72,1991.48,1991.69,446,30,0
2023-11-17 12:35:00,1991.68,1991.95,1991.47,1991.64,389,30,0
